tweet_id|class_pos|class_both|tweet_word_list|tweet_cmplt|class_annotated
935440388772339717|"['health']"|"['health']"|"['cause', 'like', 'never', 'talk', 'u', 'anymore']"|'@AryphBoogeyman Cause i like never talk to u anymore'|"['not_applicable']"
935386158430916608|"['health']"|"['health']"|"['dinner', 'jam', 'cray', 'fish', 'cooked', 'well', 'squid', 'good', 'pork', 'ok']"|"'Dinner before the jam... Cray fish was cooked very well, the squid was good, the pork was ok,… https://t.co/cr2Ask8kv7"|"['not_applicable']"
935426601369550848|"['not_applicable']"|"['not_applicable']"|"['start', 'update', 'ccommerce', 'trends', 'data', 'best', 'practice', 'joining', 'first', 'webinar']"|"RT @Econsultancy: Start 2018 with an update on ccommerce trends, data &amp; best practice by joining Econsultancy's first webinar of the… "|"['not_applicable']"
935324506079547397|"['politics']"|"['politics']"|"['one', 'might', 'ask', 'charitable', 'organization', 'make', 'political', 'action', 'contributions']"|'RT @craigertweeter: One might ask why a tax-deductible charitable organization can make non-deductible political action contributions.… '|"['politics']"
935341757415374848|"['safety_security']"|"['safety_security']"|"['facts', 'bali', 'volcano', 'leads', 'airport', 'closure', 'via']"|'10 Facts About the Bali Volcano That Leads to an Airport Closure https://t.co/1J4HpWxCpM via @goodyfeed'|"['safety_security']"
935323937013198848|"['not_applicable']"|"['not_applicable']"|"['giveaway', 'less', 'month', 'christmas', 'joyous', 'festive', 'season']"|"'🎁Giveaway🎁 🎄We are less than a month to Christmas. For this joyous festive season, I will be… https://t.co/CvM2PIdHkl'"|"['not_applicable']"
935392237290061824|"['not_applicable']"|"['not_applicable']"|"['filmmakers', 'deleting', 'scenes', 'release', 'sure', 'must', 'appreci']"|'@aayush_t115 @dkdgreat @bandarladki Filmmakers would be deleting scenes before release for sure. And I must appreci… https://t.co/XjCiHLZaTH'|"['not_applicable']"
935319584164294656|"['not_applicable']"|"['health']"|"['literally', 'drive', 'local', 'gas', 'station', 'find', 'least', 'people', 'look', 'like']"|'RT @finah: you can literally drive to your local gas station and find at least 3 people that look like this https://t.co/4StwZ0whBV'|"['not_applicable']"
935363376661663744|"['not_applicable']"|"['health']"|"['rate', 'going', 'work', 'even', 'suffer', 'horrific', 'sudden', 'death', 'called', 'back', 'office']"|"'RT @isnani: At the rate we are going with our work, even if you suffer a horrific sudden death, you’d be called back to the office. 😶'"|"['meaning_in_life']"
935395345990864896|"['not_applicable']"|"['not_applicable']"|"['stream', 'tomorrow', 'wanna', 'get', 'many', 'viewers', 'people', 'chat', 'everyone', 'follow', 'oth']"|"'RT @DemonWolfBabe: When I stream tomorrow, I wanna get as many viewers and people in the chat as I can so everyone can follow each oth… '"|"['not_applicable']"
935363788475420672|"['not_applicable']"|"['not_applicable']"|"['official', 'new', 'image', 'promoting', 'features', 'side', 'profiles', 'main', 'heroes', 'movie']"|'RT @MCU_Tweets: An official new image promoting #AvengersInfinityWar features side profiles of all the main heroes in the movie!  (… '|"['not_applicable']"
935335312225591296|"['not_applicable']"|"['not_applicable']"|"['love', 'first', 'us', 'tv', 'performance', 'listen', 'remix', 'ag']"|'RT @bts_bighit: Didn’t you just love the the first US TV performance of #MICDrop on @TheEllenShow! Listen to the remix again and ag… '|"['not_applicable']"
935340464303095808|"['social_relations']"|"['health']"|"['best', 'words', 'literally', 'ever', 'bamboozled', 'flabbergasted', 'discombobulated', 'shenanigans', 'cattywampus', 'lollygag', 'mal']"|'RT @girlideas: Some of the best words literally ever Bamboozled Flabbergasted Discombobulated Shenanigans Cattywampus Lollygag Mal… '|"['not_applicable']"
935358254519009281|"['meaning_in_life']"|"['not_applicable']"|"['people', 'fall', 'asleep', 'fast', 'understand', 'create', 'act', 'whole', 'fucking', 'movie', 'length', 'stor']"|'RT @sayingsforgirls: HOW DO PEOPLE FALL ASLEEP SO FAST I DON’T UNDERSTAND I HAVE TO CREATE AND ACT OUT A WHOLE FUCKING MOVIE LENGTH STOR… '|"['meaning_in_life']"
935402432779243520|"['social_relations']"|"['social_relations']"|"['singaporeans', 'urged', 'postpone', 'travel', 'bali', 'amid', 'mount', 'agung', 'eruption', 'mfa']"|'Singaporeans urged to postpone travel to Bali amid Mount Agung eruption: MFA https://t.co/UzVqXmsGuq https://t.co/stmbWYXkF8|"['safety_security']"
935394552378146816|"['meaning_in_life']"|"['health']"|"['u', 'ever', 'lie', 'awake', 'night', 'wondering', 'ur', 'friendships', 'genuine', 'ppl', 'talking', 'u', 'bringing']"|'RT @jonnysun: u ever lie awake at night wondering if ur friendships are genuine or if ppl are only talking to u and bringing you… '|"['social_relations']"
935363299230720000|"['not_applicable']"|"['health']"|"['rate', 'going', 'work', 'even', 'suffer', 'horrific', 'sudden', 'death', 'called', 'back', 'office']"|"'RT @isnani: At the rate we are going with our work, even if you suffer a horrific sudden death, you’d be called back to the office. 😶'"|"['meaning_in_life']"
935317272666587136|"['not_applicable']"|"['not_applicable']"|"['possibly', 'b', 'see', 'gotta', 'say', 'answer', 'successful', 'youtube', 'channel', 'sure']"|"'RT @KingFrostFive: @WeWuzMetokur @NLepito ""This can\'t possibly b--""  I see. Gotta say, the answer to a successful youtube channel sure… '"|"['not_applicable']"
935424569342509056|"['economics']"|"['economics']"|"['shopping', 'apps', 'apac', 'generate', 'transactions', 'shares', 'results', 'global', 'commerce', 'review']"|'Shopping apps in APAC generate 70% of transactions. @Criteo shares results from their Global Commerce Review:… https://t.co/kjSljijsiD'|"['economics']"
935353661030481920|"['not_applicable']"|"['health']"|"['work', 'know', 'ever', 'forget', 'way', 'group', 'happy', 'shoppers', 'turned', 'stampede']"|'RT @eric_espana: this is where i work... i don’t know if i’ll ever forget the way a group of happy shoppers turned into a stampede o… '|"['safety_security']"
935392818788368385|"['health']"|"['health']"|"['jaemin', 'finally', 'comes', 'back', 'returns', 'nct', 'dorm']"|RT @7thsensus: jaemin when he finally comes back and returns to nct dream's dorm again https://t.co/cWDz5mGwhP|"['not_applicable']"
935323399408234496|"['not_applicable']"|"['not_applicable']"|"['lifted', 'empowered', 'sons', 'long', 'lucid', 'dream', 'morning', 'life', 'spoke', 'said', 'dan', 'even', 'word']"|"'Lifted off Empowered As Sons  In a long lucid dream this morning... the Life spoke, and said ""Dan, even the word... https://t.co/QbcvCN5Th5"|"['not_applicable']"
935438518876327936|"['meaning_in_life']"|"['health']"|"['uhm', 'hello', 'need', 'report', 'something', 'attacked', 'allowed']"|RT @toabeans: uhm hello 911 i need to report something. i'm being attacked???? WHO ALLOWED THEM?????? https://t.co/OwZxduRFhS|"['not_applicable']"
935395573733232640|"['not_applicable']"|"['not_applicable']"|"['exclusive', 'bts', 'takes', 'stage', 'dna', 'ellen', 'show']"|'RT @Bulletproof_SG: EXCLUSIVE! BTS Takes the Stage with ‘DNA’ in The Ellen Show  #방탄소년단 @BTS_twt  https://t.co/txCCIdUPLY'|"['not_applicable']"
935365328728612866|"['not_applicable']"|"['safety_security']"|"['reason', 'ai', 'displace', 'hidden', 'unfair', 'advantage', 'part']"|The #1 Reason Why AI Cannot Displace You: What's Your Hidden Unfair Advantage? (Part 1) https://t.co/hoSImRkjFd… https://t.co/uprdJnwYiL|"['achievement']"
935357871406977024|"['not_applicable']"|"['not_applicable']"|"['smh', 'afiq', 'cant', 'even', 'see', 'time', 'hahahahah']"|'@magniFiqq smh afiq. cant even see the time. HAHAHAHAH'|"['not_applicable']"
935334037433982976|"['not_applicable']"|"['not_applicable']"|"['info', 'junho', 'yoon', 'seah', 'recording', 'ask', 'us', 'anything', 'knowing', 'bros', 'november', 'episode', 'ai']"|RT @fyjypnation: [INFO] Junho and Yoon Seah are recording for 'Ask Us Anything' ('Knowing Bros' on November 30. The episode will ai… |"['not_applicable']"
935422774801186818|"['health']"|"['health']"|"['keeping', 'eye', 'changwook', 'updates']"|'RT @changwooq: me keeping an eye out for changwook updates https://t.co/8HUx4LnVNa'|"['not_applicable']"
935389263591391232|"['not_applicable']"|"['not_applicable']"|"['quote', 'hamlet', 'act', 'iii', 'scene', 'iii', 'line']"|"RT @myrnemusic: to quote hamlet act III, scene iii, line 92,  'no'"|"['not_applicable']"
935461879987757056|"['skip']"|"['skip']"|"['longer', 'parade', 'route', 'free', 'street', 'parades', 'chingay', 'todayonline']"|"'Longer parade route, free street parades for Chingay 2018 - TODAYonline https://t.co/w2voDIdUIa #sgbreakingnews https://t.co/CVVE1dfYLi'"|"['not_applicable']"
935330787171319808|"['not_applicable']"|"['not_applicable']"|"['exclusive', 'bts', 'takes', 'stage', 'dna', 'ellen', 'show']"|'RT @Bulletproof_SG: EXCLUSIVE! BTS Takes the Stage with ‘DNA’ in The Ellen Show  #방탄소년단 @BTS_twt  https://t.co/txCCIdUPLY'|"['not_applicable']"
935421875642966017|"['not_applicable']"|"['not_applicable']"|"['keep', 'tweeting', 'guys', 'spot']"|RT @iAmAudrey5: Keep on tweeting guys we're on the 6th spot! 💪  #LizQuenForBaganiLaunch https://t.co/gMowXs1pZd|"['not_applicable']"
935326531940839424|"['not_applicable']"|"['not_applicable']"|"['mama', 'miss', 'last', 'opportunity', 'vote', 'best', 'dance', 'performance', 'male', 'grou']"|RT @VIXXStardust: [MAMA D-D] #Starlight don't miss the last opportunity to vote for #VIXX  under the Best Dance Performance Male Grou… |"['not_applicable']"
935400919058886656|"['not_applicable']"|"['health']"|"['need', 'someone', 'pleased', 'see', 'us', 'somehow', 'makes', 'us', 'feel', 'worthwhile', 'generous', 'praise', 'time']"|'RT @giasison: We all need someone who is pleased to see us. It somehow makes us feel it is all worthwhile. Be generous with praise and time.'|"['meaning_in_life']"
935360799538741248|"['not_applicable']"|"['not_applicable']"|"['girl', 'influencer', 'act', 'like', 'one', 'promos', 'instagram']"|"'RT @daaauz: Girl, you’re no influencer so don’t act like one with all the “promos” on your Instagram.'"|"['not_applicable']"
935329096762118144|"['not_applicable']"|"['not_applicable']"|"['defines', 'child', 'message', 'video', 'resonates']"|'What defines your child?  The message in the video resonates with me.   #PSLE https://t.co/LfXGEAkXHf'|"['achievement']"
935430538625671168|"['meaning_in_life']"|"['health']"|"['people', 'really', 'still', 'thinking', 'irene', 'quiet', 'cold', 'hates', 'members', 'cackling']"|'RT @perfectveIvet: people are really out here still thinking irene is quiet and cold and hates her members when she’s here cackling at… '|"['not_applicable']"
935318792636215296|"['not_applicable']"|"['not_applicable']"|"['fanacc', 'says', 'restaurant', 'top', 'omg', 'lucky', 'glad', 'see', 'fine', 'via', 'w']"|"'RT @alienchoi: The fanacc says, she was in the same restaurant as TOP. Omg so lucky.. glad to see him doing fine   via: __uro__, w… '"|"['not_applicable']"
935343009662676993|"['not_applicable']"|"['not_applicable']"|"['silicon', 'stories', 'g', 'netflix', 'uphill', 'battle', 'thailand']"|'Silicon Stories G: Netflix’s Uphill Battle in Thailand #InformationTechnology #topdown https://t.co/D1xABXED1K'|"['not_applicable']"
935444883174604801|"['health']"|"['health']"|"['americano', 'latte', 'amongst', 'members', 'jongin', 'one', 'drinks', 'latte', 'night', 'day', 'roasted', 'sweet', 'potato']"|"'RT @qtpiebyunbaek: AMERICANO/Latte (Amongst the members, Jongin is the only one who drinks Latte)   NIGHT/Day 🌘  Roasted Sweet Potato/… '"|"['not_applicable']"
935453608203530240|"['meaning_in_life']"|"['meaning_in_life']"|"['baby', 'staring', 'target', 'started', 'waving', 'waved', 'back', 'mom', 'whipped', 'around', 'like']"|'RT @tarynland: a baby was staring at me in target so i started waving to her &amp; she waved back &amp; the mom whipped around &amp; was like… '|"['not_applicable']"
935423574403362816|"['not_applicable']"|"['not_applicable']"|"['us', 'took', 'queue', 'get', 'hands', 'le', 'ipad', 'took', 'l', 'multiple']"|'•UK6.5• 2 of us took 4hrs to queue just to get our hands on the LE iPad and took an L ! Multiple… https://t.co/faq3j7U9sk'|"['not_applicable']"
935423050098475008|"['not_applicable']"|"['health']"|"['mom', 'seeing', 'nose', 'piercing', 'first', 'time']"|'RT @raheladane: My mom seeing my nose piercing for the first time 😂 #habeshaparents https://t.co/BJYOOoKMk5|"['not_applicable']"
935465285540372480|"['health']"|"['health']"|"['know', 'much', 'loves', 'ice', 'cream', 'poor', 'boy', 'eat', 'ice', 'cream']"|You know how much he loves ice cream.. just that my poor boy can't eat ice cream at all. He… https://t.co/gpQXigRgTJ|"['health']"
